age,gender,race,date,city,state,manner_of_death,mental_illness
21,Male,Asian,2014-12-24,Delray Beach,FL,Shot,false
53,Male,Asian,2015-01-02,Shelton,WA,Shot,true
,Male,Asian,2015-02-01,Houston,TX,Shot,false
39,Male,Asian,2015-04-22,Eldorado Springs,CO,Shot,false
32,Male,Asian,2015-05-05,South El Monte,CA,Shot,false
60,Male,Asian,2015-07-02,San Diego,CA,Shot,false
59,Male,Asian,2015-09-09,El Monte,CA,Shot,false
31,Male,Asian,2015-09-10,Potsdam,NY,Shot,false
44,Male,Asian,2015-10-11,Lake Charles,LA,Shot,false
,Male,Asian,2015-11-30,Aurora,CO,Shot,false
39,Male,Asian,2015-12-14,Long Beach,CA,Shot,false
33,Male,Asian,2015-12-29,Rosemead,CA,Shot,false
43,Male,Asian,2016-01-06,Buford,GA,Shot,true
40,Male,Asian,2016-01-27,Lenoir City,TN,Shot,false
33,Male,Asian,2005-01-22,San Jose,CA,Shot,false
28,Male,Asian,2005-02-01,Fresno,CA,Shot,false
21,Male,Asian,2005-08-21,Goshen,CA,Shot,false
38,Male,Asian,2016-03-17,Burnsville,MN,Shot,false
53,Male,Asian,2016-03-17,Tampa,FL,Shot,false
49,Male,Asian,2006-09-04,San Mateo,CA,Shot,true
53,Female,Asian,2006-11-02,Stockton,CA,Shot,true
41,Male,Asian,2007-11-17,San Diego,CA,Shot,false
23,Male,Asian,2007-09-11,El Dorado Hills,CA,Shot,true
21,Male,Asian,2007-02-05,Westminster,CA,Shot,false
30,Male,Asian,2008-12-10,Stockton,CA,Shot,false
22,Male,Asian,2008-11-25,San Mateo,CA,Shot,true
28,Male,Asian,2008-08-21,Fresno,CA,Shot,false
33,Male,Asian,2008-02-08,Gilroy,CA,Shot,true
35,Male,Asian,2009-12-08,Sacramento,CA,Shot,true
37,Male,Asian,2009-09-05,San Francisco,CA,Shot,true
35,Female,Asian,2009-07-06,San Jose,CA,Shot,false
27,Male,Asian,2009-05-10,San Jose,CA,Shot,true
23,Male,Asian,2009-04-12,Folsom,CA,Shot,true
37,Male,Asian,2009-09-05,San Francisco,CA,Shot,true
41,Male,Asian,2016-04-19,Charlotte,NC,Shot,false
34,Male,Asian,2016-04-27,Atlanta,GA,Shot,false
25,Male,Asian,2010-01-12,Laguna Beach,CA,Shot,false
22,Female,Asian,2010-10-03,Fullerton,CA,Shot,false
25,Male,Asian,2010-06-28,Berkeley,CA,Shot,false
32,Male,Asian,2010-03-15,Sacramento,CA,Shot,false
45,Male,Asian,2011-10-29,Monrovia,CA,Shot,false
36,Male,Asian,2011-01-15,Union City,CA,Shot,false
53,Male,Asian,2015-01-02,Shelton,WA,Shot,true
35,Male,Asian,2015-03-01,Houston,TX,Shot,false
28,Male,Asian,2015-03-04,Stockton,CA,Shot,false
28,Male,Asian,2015-04-08,Sunnyvale,CA,Shot,true
39,Male,Asian,2015-04-22,Eldorado Springs,CO,Shot,false
32,Male,Asian,2015-05-05,South El Monte,CA,Shot,false
60,Male,Asian,2015-07-02,San Diego,CA,Shot,false
59,Male,Asian,2015-09-09,El Monte,CA,Shot,false
31,Male,Asian,2015-09-10,Potsdam,NY,Shot,false
44,Male,Asian,2015-10-11,Lakes Charles,LA,Shot,false
25,Male,Asian,2015-11-30,Aurora,CO,Shot,false
39,Male,Asian,2015-12-14,Long Beach,CA,Shot,false
,Male,Asian,2015-12-29,Rosemead,CA,Shot,false
40,Male,Asian,2016-01-27,Lenoir City,TN,Shot,true
38,Male,Asian,2016-03-17,Burnsville,MN,Shot,true
53,Male,Asian,2016-03-17,Tampa,FL,Shot,false
41,Male,Asian,2016-04-19,Charlotte,NC,Shot,true
34,Male,Asian,2016-04-27,Atlanta,GA,Shot,false
28,Male,Asian,2016-04-30,Los Angeles,CA,Shot,false
33,Male,Asian,2016-05-11,San Diego,CA,Shot,false
27,Male,Asian,2016-06-28,Long Beach,CA,Shot,false
18,Male,Asian,2016-07-31,Manchester,NJ,Shot,true
45,Male,Asian,2016-10-28,North Royalton,OH,Shot,true
35,Male,Asian,2015-01-28,Stockton,CA,Shot and Tasered,true
32,Male,Asian,2008-09-03,Garden Grove,CA,Tasered,true
43,Male,Asian,2011-11-14,Tucson,AZ,Tasered,false
76,Male,Asian,2013-07-14,St. Louis Park,MN,Tasered,false
57,Male,Asian,2015-01-16,Brooklyn Center,MN,Tasered,false
37,Male,Asian,2009-06-29,Fontana,CA,Tasered,true
,Male,Black,2008-12-29,Los Angeles,CA,Other,true
21,Male,Black,2009-03-01,San Bernardino,CA,Other,true
45,Male,Black,2005-04-05,Columbus,GA,Other,false
40,Male,Black,2012-06-13,Reno,NV,Other,false
45,Male,Black,2000-01-05,Dothan,AL,Shot,false
26,Male,Black,2000-01-10,Bala Cywyd,PA,Shot,false
29,Male,Black,2000-01-28,Providence,RI,Shot,false
15,Male,Black,2000-01-28,Jersey City,NJ,Shot,false
26,Male,Black,2000-01-28,Oakland,CA,Shot,false
29,Male,Black,2000-02-15,Houston,TX,Shot,false
23,Male,Black,2000-03-01,Bronx,NY,Shot,false
26,Male,Black,2000-03-16,New York,NY,Shot,false
40,Male,Black,2000-03-16,Chicago,IL,Shot,false
23,Male,Black,2000-03-17,New Orleans,LA,Shot,false
34,Male,Black,2000-03-31,Town Creek,AL,Shot,false
17,Male,Black,2000-03-31,Brooklyn,NY,Shot,false
19,Male,Black,2000-03-31,Brooklyn,NY,Shot,false
20,Male,Black,2000-04-08,Gulfport,MS,Shot,true
