Stagione	Campionato	Campionato_sigla	Giornata	Data	CoT	Squadra	Numero	Avversario	Avversario_sigla	Risultato_finale	PoNo	Minuto_1	Risultato_parziale_1	Modo_1	Assist_1	Minuto_2	Risultato_parziale_2	Modo_2	Assist_2	Minuto_3	Risultato_parziale_3	Modo_3	Assist_3	Minuto_4	Risultato_parziale_4	Modo_4	Assist_4	N_goals
Stagione 11/12	Serie B	Serie B	16	19/11/2011	C	Delfino Pescara 1936	(3.)	AS Gubbio 1910	Gubbio  (20.)	02:01	P	52'	02:01	Azione personale														1
Stagione 11/12	Serie B	Serie B	19	10/12/2011	T	Delfino Pescara 1936	(4.)	Torino FC	Torino  (1.)	04:02	P	48'	01:01	Destro	Emmanuel Cascione	90'+2	04:02	Destro										2
Stagione 11/12	Serie B	Serie B	21	06/01/2012	T	Delfino Pescara 1936	(4.)	ASG Nocerina	ASG Nocerina  (21.)	02:04	P	10'	01:02	Colpo di testa	Antonio Balzano	28'	01:03	Destro	Damiano Zanon									2
Stagione 11/12	Serie B	Serie B	22	16/01/2012	C	Delfino Pescara 1936	(4.)	Hellas Verona	Verona  (2.)	03:01	P	49'	02:01	Sinistro	Emmanuel Cascione	57'	03:01	Azione in contropiede	Lorenzo Insigne									2
Stagione 11/12	Serie B	Serie B	24	27/01/2012	C	Delfino Pescara 1936	(3.)	Modena FC	Modena  (16.)	03:01	P	11'	01:00	Colpo di testa	Antonio Balzano													1
Stagione 11/12	Serie B	Serie B	25	31/01/2012	T	Delfino Pescara 1936	(2.)	FC Crotone	Crotone  (16.)	01:02	P	48'	01:01	Tap-in														1
Stagione 11/12	Serie B	Serie B	28	18/02/2012	T	Delfino Pescara 1936	(1.)	UC AlbinoLeffe	AlbinoLeffe  (19.)	01:01	P	17'	00:01	Tap-in														1
Stagione 11/12	Serie B	Serie B	29	03/03/2012	C	Delfino Pescara 1936	(2.)	US Sassuolo	Sassuolo  (3.)	03:02	P	50'	01:01	Rigore		58'	02:01	Colpo di testa	Damiano Zanon									2
Stagione 11/12	Serie B	Serie B	27	06/03/2012	C	Delfino Pescara 1936	(1.)	SS Juve Stabia	Juve Stabia   (11.)	02:00	P	20'	01:00	Rigore														1
Stagione 11/12	Serie B	Serie B	31	19/03/2012	C	Delfino Pescara 1936	(1.)	Brescia Calcio	Brescia  (7.)	01:01	P	21'	01:01	Destro	Marco Verratti													1
Stagione 11/12	Serie B	Serie B	33	31/03/2012	C	Delfino Pescara 1936	(3.)	AS Bari	Bari  (11.)	01:02	P	8'	01:00	Destro	Lorenzo Insigne													1
Stagione 11/12	Serie B	Serie B	36	20/04/2012	T	Delfino Pescara 1936	(4.)	Calcio Padova	Padova  (5.)	00:06	P	38'	00:01	Rigore		83'	00:05	Destro	Marco Sansovini									2
Stagione 11/12	Serie B	Serie B	38	01/05/2012	C	Delfino Pescara 1936	(2.)	Vicenza Calcio	Vicenza  (19.)	06:00	P	67'	05:00	Destro	Lorenzo Insigne													1
Stagione 11/12	Serie B	Serie B	40	12/05/2012	C	Delfino Pescara 1936	(2.)	Torino FC	Torino  (1.)	02:00	P	46'	02:00	Colpo di testa	Damiano Zanon													1
Stagione 11/12	Serie B	Serie B	41	20/05/2012	T	Delfino Pescara 1936	(2.)	UC Sampdoria	Sampdoria  (6.)	01:03	P	29'	00:02	Destro														1
Stagione 12/13	Serie A	Serie A	1	26/08/2012	C	Genoa CFC	(17.)	Cagliari Calcio	Cagliari  (11.)	02:00	P	85'	02:00	Tiro dalla distanza	Juraj Kucka													1
Stagione 12/13	Serie A	Serie A	3	16/09/2012	C	Genoa CFC	(9.)	Juventus FC	Juventus  (1.)	01:03	P	18'	01:00	Destro	Andrea Bertolacci													1
Stagione 12/13	Serie A	Serie A	12	11/11/2012	C	Genoa CFC	(17.)	SSC Napoli	Napoli  (3.)	02:04	P	23'	01:00	Destro														1
Stagione 12/13	Serie A	Serie A	13	18/11/2012	T	Genoa CFC	(18.)	UC Sampdoria	Sampdoria  (17.)	03:01	P	73'	02:01	Destro	Juan Manuel Vargas													1
Stagione 12/13	Serie A	Serie A	18	22/12/2012	T	Genoa CFC	(19.)	Inter	Inter  (2.)	01:01	P	75'	00:01	Destro														1
Stagione 13/14	Coppa Italia	Coppa Italia	Turno 3	17/08/2013	C	Torino FC		Delfino Pescara 1936	Pescara	01:02	P	52'	01:01	Destro	Nicola Bellomo													1
Stagione 13/14	Serie A	Serie A	7	06/10/2013	T	Torino FC	(10.)	UC Sampdoria	Sampdoria  (19.)	02:02	P	66'	01:01	Destro														1
Stagione 13/14	Serie A	Serie A	8	20/10/2013	C	Torino FC	(9.)	Inter	Inter  (4.)	03:03	P	53'	02:01	Destro														1
Stagione 13/14	Serie A	Serie A	10	30/10/2013	T	Torino FC	(12.)	AS Livorno	Livorno  (15.)	03:03	P	4'	00:01	Sinistro	Alessio Cerci													1
Stagione 13/14	Serie A	Serie A	12	10/11/2013	T	Torino FC	(11.)	Cagliari Calcio	Cagliari  (15.)	02:01	P	52'	01:01	Sinistro	Omar El Kaddouri													1
Stagione 13/14	Serie A	Serie A	13	24/11/2013	C	Torino FC	(14.)	Calcio Catania	Catania  (19.)	04:01	P	10'	01:00	Destro														1
Stagione 13/14	Serie A	Serie A	16	15/12/2013	T	Torino FC	(7.)	Udinese Calcio	Udinese  (14.)	00:02	P	75'	00:02	Colpo di testa	Matteo Darmian													1
Stagione 13/14	Serie A	Serie A	17	22/12/2013	C	Torino FC	(7.)	AC Chievo Verona	Chievo  (16.)	04:01	P	45'+2	01:01	Destro	Alessio Cerci	65'	02:01	Tiro dalla distanza										2
Stagione 13/14	Serie A	Serie A	18	06/01/2014	T	Torino FC	(7.)	Parma FC	Parma  (8.)	03:01	P	21'	00:01	Destro	Matteo Darmian													1
Stagione 13/14	Serie A	Serie A	20	19/01/2014	T	Torino FC	(7.)	US Sassuolo	Sassuolo  (17.)	00:02	P	25'	00:01	Destro														1
Stagione 13/14	Serie A	Serie A	22	01/02/2014	T	Torino FC	(6.)	AC Milan	Milan  (9.)	01:01	P	17'	00:01	Azione personale	Emiliano Moretti													1
Stagione 13/14	Serie A	Serie A	23	09/02/2014	C	Torino FC	(7.)	Bologna FC	Bologna  (17.)	01:02	P	5'	01:00	Colpo di testa	Matteo Darmian													1
Stagione 13/14	Serie A	Serie A	24	17/02/2014	T	Torino FC	(7.)	Hellas Verona	Verona  (6.)	01:03	P	50'	01:01	Destro	Omar El Kaddouri													1
Stagione 13/14	Serie A	Serie A	29	22/03/2014	C	Torino FC	(10.)	AS Livorno	Livorno  (17.)	03:01	P	25'	01:00		Cesare Bovo	60'	02:00		Omar El Kaddouri	67'	03:00		Jasmin Kurtic					3
Stagione 13/14	Serie A	Serie A	30	25/03/2014	T	Torino FC	(10.)	AS Roma	Roma  (2.)	02:01	P	50'	01:01	Sinistro	Giuseppe Vives													1
Stagione 13/14	Serie A	Serie A	32	06/04/2014	T	Torino FC	(10.)	Calcio Catania	Catania  (20.)	01:02	P	83'	01:02	Sinistro	Riccardo Meggiorini													1
Stagione 13/14	Serie A	Serie A	33	13/04/2014	C	Torino FC	(10.)	Genoa CFC	Genoa  (13.)	02:01	P	90'+2	01:01	Destro	Omar El Kaddouri													1
Stagione 13/14	Serie A	Serie A	34	19/04/2014	T	Torino FC	(7.)	SS Lazio	Lazio  (9.)	03:03	P	89'	02:03	Destro	Barreto													1
Stagione 13/14	Serie A	Serie A	35	27/04/2014	C	Torino FC	(8.)	Udinese Calcio	Udinese  (14.)	02:00	P	56'	02:00	Azione in contropiede	Nikola Maksimovic													1
Stagione 13/14	Serie A	Serie A	37	11/05/2014	C	Torino FC	(6.)	Parma FC	Parma  (7.)	01:01	P	42'	01:00	Destro														1
Stagione 14/15	UEFA Champions League	Champions League	Fase a gironi	16/09/2014	C	Borussia Dortmund		FC Arsenal	FC Arsenal	02:00	P	45'	01:00	Azione personale	Kevin Groaykreutz													1
Stagione 14/15	Bundesliga	Bundesliga	5	24/09/2014	C	Borussia Dortmund	(10.)	VfB Stoccarda	VfB Stoccarda  (18.)	02:02	P	86'	02:02	Destro	Marcel Schmelzer													1
